pixel;lat;lon
324;40.0167;5.3833
325;40.0167;5.4000
326;40.0167;5.4167
327;40.0167;5.4333
328;40.0167;5.4500
329;40.0167;5.4667
330;40.0167;5.4833
331;40.0167;5.5000
332;40.0167;5.5167
333;40.0167;5.5333
334;40.0167;5.5500
335;40.0167;5.5667
336;40.0167;5.5833
337;40.0167;5.6000
338;40.0167;5.6167
339;40.0167;5.6333
340;40.0167;5.6500
341;40.0167;5.6667
342;40.0167;5.6833
343;40.0167;5.7000
344;40.0167;5.7167
345;40.0167;5.7333
346;40.0167;5.7500
347;40.0167;5.7667
348;40.0167;5.7833
349;40.0167;5.8000
350;40.0167;5.8167
351;40.0167;5.8333
352;40.0167;5.8500
353;40.0167;5.8667
354;40.0167;5.8833
355;40.0167;5.9000
356;40.0167;5.9167
357;40.0167;5.9333
358;40.0167;5.9500
359;40.0167;5.9667
360;40.0167;5.9833
361;40.0167;6.0000
362;40.0333;3.0000
363;40.0333;3.0167
364;40.0333;3.0333
365;40.0333;3.0500
366;40.0333;3.0667
367;40.0333;3.0833
368;40.0333;3.1000
369;40.0333;3.1167
370;40.0333;3.1333
371;40.0333;3.1500
372;40.0333;3.1667
373;40.0333;3.1833
374;40.0333;3.2000
375;40.0333;3.2167
376;40.0333;3.2333
377;40.0333;3.2500
378;40.0333;3.2667
379;40.0333;3.2833
380;40.0333;3.3000
381;40.0333;3.3167
382;40.0333;3.3333
383;40.0333;3.3500
384;40.0333;3.3667
385;40.0333;3.3833
386;40.0333;3.4000
387;40.0333;3.4167
388;40.0333;3.4333
389;40.0333;3.4500
390;40.0333;3.4667
391;40.0333;3.4833
392;40.0333;3.5000
393;40.0333;3.5167
394;40.0333;3.5333
395;40.0333;3.5500
396;40.0333;3.5667
397;40.0333;3.5833
398;40.0333;3.6000
399;40.0333;3.6167
400;40.0333;3.6333
401;40.0333;3.6500
402;40.0333;3.6667
403;40.0333;3.6833
404;40.0333;3.7000
405;40.0333;3.7167
406;40.0333;3.7333
407;40.0333;3.7500
408;40.0333;3.7667
409;40.0333;3.7833
410;40.0333;3.8000
411;40.0333;3.8167
412;40.0333;3.8333
413;40.0333;3.8500
414;40.0333;3.8667
415;40.0333;3.8833
416;40.0333;3.9000
417;40.0333;3.9167
418;40.0333;3.9333
419;40.0333;3.9500
420;40.0333;3.9667
421;40.0333;3.9833
422;40.0333;4.0000
423;40.0333;4.0167
424;40.0333;4.0333
425;40.0333;4.0500
426;40.0333;4.0667
427;40.0333;4.0833
428;40.0333;4.1000
429;40.0333;4.1167
430;40.0333;4.1333
431;40.0333;4.1500
432;40.0333;4.1667
433;40.0333;4.1833
434;40.0333;4.2000
435;40.0333;4.2167
436;40.0333;4.2333
437;40.0333;4.2500
438;40.0333;4.2667
439;40.0333;4.2833
440;40.0333;4.3000
441;40.0333;4.3167
442;40.0333;4.3333
443;40.0333;4.3500
444;40.0333;4.3667
445;40.0333;4.3833
446;40.0333;4.4000
447;40.0333;4.4167
448;40.0333;4.4333
449;40.0333;4.4500
450;40.0333;4.4667
451;40.0333;4.4833
452;40.0333;4.5000
453;40.0333;4.5167
454;40.0333;4.5333
455;40.0333;4.5500
456;40.0333;4.5667
457;40.0333;4.5833
458;40.0333;4.6000
459;40.0333;4.6167
460;40.0333;4.6333
461;40.0333;4.6500
462;40.0333;4.6667
463;40.0333;4.6833
464;40.0333;4.7000
465;40.0333;4.7167
466;40.0333;4.7333
467;40.0333;4.7500
468;40.0333;4.7667
469;40.0333;4.7833
470;40.0333;4.8000
471;40.0333;4.8167
472;40.0333;4.8333
473;40.0333;4.8500
474;40.0333;4.8667
475;40.0333;4.8833
476;40.0333;4.9000
477;40.0333;4.9167
478;40.0333;4.9333
479;40.0333;4.9500
480;40.0333;4.9667
481;40.0333;4.9833
482;40.0333;5.0000
483;40.0333;5.0167
484;40.0333;5.0333
485;40.0333;5.0500
486;40.0333;5.0667
487;40.0333;5.0833
488;40.0333;5.1000
489;40.0333;5.1167
490;40.0333;5.1333
491;40.0333;5.1500
492;40.0333;5.1667
493;40.0333;5.1833
494;40.0333;5.2000
495;40.0333;5.2167
496;40.0333;5.2333
497;40.0333;5.2500
498;40.0333;5.2667
499;40.0333;5.2833
500;40.0333;5.3000
501;40.0333;5.3167
502;40.0333;5.3333
503;40.0333;5.3500
504;40.0333;5.3667
505;40.0333;5.3833
506;40.0333;5.4000
507;40.0333;5.4167
508;40.0333;5.4333
509;40.0333;5.4500
510;40.0333;5.4667
511;40.0333;5.4833
512;40.0333;5.5000
513;40.0333;5.5167
514;40.0333;5.5333
515;40.0333;5.5500
516;40.0333;5.5667
517;40.0333;5.5833
518;40.0333;5.6000
519;40.0333;5.6167
520;40.0333;5.6333
521;40.0333;5.6500
522;40.0333;5.6667
523;40.0333;5.6833
524;40.0333;5.7000
525;40.0333;5.7167
526;40.0333;5.7333
527;40.0333;5.7500
528;40.0333;5.7667
529;40.0333;5.7833
530;40.0333;5.8000
531;40.0333;5.8167
532;40.0333;5.8333
533;40.0333;5.8500
534;40.0333;5.8667
535;40.0333;5.8833
536;40.0333;5.9000
537;40.0333;5.9167
538;40.0333;5.9333
539;40.0333;5.9500
540;40.0333;5.9667
541;40.0333;5.9833
542;40.0333;6.0000
543;40.0500;3.0000
544;40.0500;3.0167
545;40.0500;3.0333
546;40.0500;3.0500
547;40.0500;3.0667
548;40.0500;3.0833
549;40.0500;3.1000
550;40.0500;3.1167
551;40.0500;3.1333
552;40.0500;3.1500
553;40.0500;3.1667
554;40.0500;3.1833
555;40.0500;3.2000
556;40.0500;3.2167
557;40.0500;3.2333
558;40.0500;3.2500
559;40.0500;3.2667
560;40.0500;3.2833
561;40.0500;3.3000
562;40.0500;3.3167
563;40.0500;3.3333
564;40.0500;3.3500
565;40.0500;3.3667
566;40.0500;3.3833
567;40.0500;3.4000
568;40.0500;3.4167
569;40.0500;3.4333
570;40.0500;3.4500
571;40.0500;3.4667
572;40.0500;3.4833
573;40.0500;3.5000
574;40.0500;3.5167
575;40.0500;3.5333
576;40.0500;3.5500
577;40.0500;3.5667
578;40.0500;3.5833
579;40.0500;3.6000
580;40.0500;3.6167
581;40.0500;3.6333
582;40.0500;3.6500
583;40.0500;3.6667
584;40.0500;3.6833
585;40.0500;3.7000
586;40.0500;3.7167
587;40.0500;3.7333
588;40.0500;3.7500
589;40.0500;3.7667
590;40.0500;3.7833
591;40.0500;3.8000
592;40.0500;3.8167
593;40.0500;3.8333
594;40.0500;3.8500
595;40.0500;3.8667
596;40.0500;3.8833
597;40.0500;3.9000
598;40.0500;3.9167
599;40.0500;3.9333
600;40.0500;3.9500
601;40.0500;3.9667
602;40.0500;3.9833
603;40.0500;4.0000
604;40.0500;4.0167
605;40.0500;4.0333
606;40.0500;4.0500
607;40.0500;4.0667
608;40.0500;4.0833
609;40.0500;4.1000
610;40.0500;4.1167
611;40.0500;4.1333
612;40.0500;4.1500
613;40.0500;4.1667
614;40.0500;4.1833
615;40.0500;4.2000
616;40.0500;4.2167
617;40.0500;4.2333
618;40.0500;4.2500
619;40.0500;4.2667
620;40.0500;4.2833
621;40.0500;4.3000
622;40.0500;4.3167
623;40.0500;4.3333
624;40.0500;4.3500
